Send country,Receive country,Remit name,Sending type,Receiving type,Send currency,To which currency?,Send amount range ($USD) - From,Send amount range ($USD) - To,Fees for sending - USD,Fees for sending - %,FX markup,Receiving fee (in Column D currency),Receiving fee (%),Send-to-receive - Duration (hours),Documentation requirements,Promotions,Service quality,Comments
USA,China,Xoom,bank,bank,USD,CNY,10.00,2999.00,8.88,,2.00%,,,1,,,,
USA,China,Xoom,card,bank,USD,CNY,10.00,99.99,8.88,,2.00%,,,1,,,,
USA,China,Xoom,card,bank,USD,CNY,100.00,199.99,10.00,,2.00%,,,1,,,,
USA,China,Xoom,card,bank,USD,CNY,200.00,999.99,20.00,,2.00%,,,1,,,,
USA,China,Xoom,card,bank,USD,CNY,1000.00,1499.99,30.00,,2.00%,,,1,,,,
USA,China,Xoom,card,bank,USD,CNY,1500.00,1999.99,45.00,,2.00%,,,1,,,,
USA,China,Xoom,card,bank,USD,CNY,2000.00,2999.00,60.00,,2.00%,,,1,,,,
USA,India,Xoom,bank,bank,USD,INR,10.00,500.00,2.99,,0.78%,,,4,,,,
USA,India,Xoom,bank,bank,USD,INR,501.00,1000.00,4.99,,0.78%,,,4,,,,
USA,India,Xoom,bank,bank,USD,INR,1001.00,2999.00,0.00,,0.78%,,,4,,,,
USA,India,Xoom,card,bank,USD,INR,10.00,200.00,4.99,,0.78%,,,4,,,,
USA,India,Xoom,card,bank,USD,INR,201.00,300.00,5.99,,0.78%,,,4,,,,
USA,India,Xoom,card,bank,USD,INR,301.00,400.00,6.99,,0.78%,,,4,,,,
USA,India,Xoom,card,bank,USD,INR,401.00,500.00,7.99,,0.78%,,,4,,,,
USA,India,Xoom,card,bank,USD,INR,501.00,600.00,8.99,,0.78%,,,4,,,,
USA,India,Xoom,card,bank,USD,INR,601.00,1000.00,9.99,,0.78%,,,4,,,,
USA,India,Xoom,card,bank,USD,INR,1001.00,1400.00,11.99,,0.78%,,,4,,,,
USA,India,Xoom,card,bank,USD,INR,1401.00,1800.00,13.99,,0.78%,,,4,,,,
